,,,,,INTER: 06/08/18      ( V A L O R E S   I N S T A N T A N E O S )

,,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
60000,GUE,01PW_TG_11,-0.018507,-0.013880,-0.006940,-0.018507,-0.018507,-0.016193,-0.018507,-0.020820,-0.011567,-0.011567,-0.018507,-0.013880,-0.016193,-0.013880,-0.016193,-0.013880,-0.018507,-0.013880,-0.009253,-0.016193,-0.013880,-0.023134,-0.006940,-0.011567,-0.013880,-0.016193,-0.013880,-0.016193,-0.006940,-0.011567,-0.009253,-0.013880,-0.016193,-0.016193,-0.013880,-0.011567,-0.016193,-0.009253,-0.009253,-0.018507,-0.006940,-0.009253,-0.013880,-0.016193,-0.006940,-0.018507,-0.018507,-0.016193,-0.013880,-0.020820,-0.018507,-0.009253,-0.016193,-0.009253,-0.011567,-0.013880,-0.020820,-0.016193,-0.013880,-0.009253,-0.016193,-0.013880,-0.013880,-0.009253,-0.020820,-0.013880,-0.011567,-0.023134,-0.018507,-0.016193,-0.009253,-0.009253,-0.011567,-0.023134,-0.009253,-0.009253,-0.011567,-0.013880,-0.009253,-0.011567,-0.011567,-0.009253,-0.011567,-0.023134,-0.009253,-0.016193,-0.009253,-0.006940,-0.004627,-0.009253,-0.016193,-0.016193,-0.013880,-0.011567,-0.018507,-0.013880
60001,GUE,01PQ_TG_11,-0.017768,-0.010153,-0.007615,-0.020306,-0.017768,-0.010153,-0.015230,-0.017768,-0.027921,-0.017768,-0.010153,-0.022845,-0.010153,-0.012691,-0.015230,-0.015230,-0.012691,-0.012691,-0.007615,-0.017768,-0.002538,-0.010153,-0.007615,-0.015230,-0.020306,-0.010153,-0.010153,-0.022845,-0.020306,-0.015230,-0.012691,-0.007615,-0.015230,-0.020306,-0.020306,-0.017768,-0.017768,-0.015230,-0.015230,-0.012691,-0.017768,-0.017768,-0.007615,-0.020306,-0.015230,-0.010153,-0.007615,-0.017768,-0.022845,-0.010153,-0.012691,-0.015230,-0.010153,-0.007615,-0.017768,-0.007615,-0.015230,-0.012691,-0.015230,-0.012691,-0.010153,-0.010153,-0.015230,-0.010153,-0.017768,-0.005077,-0.017768,-0.015230,-0.012691,-0.002538,-0.015230,-0.007615,-0.017768,-0.012691,-0.012691,-0.012691,-0.020306,-0.015230,-0.012691,-0.015230,-0.010153,-0.012691,-0.012691,-0.015230,-0.017768,-0.015230,-0.007615,-0.015230,-0.010153,-0.017768,-0.017768,-0.010153,-0.015230,-0.017768,-0.012691,-0.015230
60002,GUE,13PW_TR_G11,-0.023417,-0.035125,-0.011708,-0.046834,-0.011708,-0.035125,0.000000,0.000000,-0.035125,-0.023417,-0.023417,-0.011708,0.000000,-0.070251,-0.011708,-0.023417,-0.023417,-0.023417,0.000000,-0.011708,-0.023417,0.000000,0.000000,-0.058542,-0.011708,0.000000,0.000000,-0.011708,0.000000,-0.011708,-0.011708,0.000000,-0.011708,0.000000,0.000000,0.000000,-0.011708,-0.035125,-0.011708,0.000000,-0.046834,-0.023417,-0.011708,0.000000,0.023417,-0.035125,-0.023417,-0.081959,-0.011708,-0.046834,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011708,-0.046834,0.000000,-0.011708,0.000000,-0.011708,-0.023417,-0.023417,0.000000,-0.035125,0.023417,-0.035125,0.000000,0.000000,-0.046834,-0.023417,0.000000,-0.035125,-0.011708,0.000000,0.000000,0.000000,-0.035125,-0.046834,0.000000,0.000000,0.000000,0.035125,0.000000,-0.011708,0.000000,-0.011708,-0.011708,0.011708,-0.023417,-0.011708,-0.023417,0.000000,-0.011708,0.000000,0.023417
60003,GUE,13PQ_TR_G11,0.000000,-0.026768,-0.053536,0.000000,-0.026768,-0.040152,-0.013384,0.000000,-0.040152,-0.040152,-0.026768,-0.013384,-0.026768,-0.053536,-0.053536,0.000000,-0.013384,-0.026768,-0.013384,-0.013384,-0.053536,0.000000,-0.026768,0.000000,0.000000,-0.013384,-0.040152,0.000000,0.000000,-0.026768,-0.053536,0.000000,-0.013384,-0.040152,-0.013384,-0.026768,-0.013384,-0.053536,-0.026768,0.000000,-0.013384,-0.026768,-0.053536,0.000000,-0.013384,0.000000,0.000000,-0.013384,-0.053536,-0.040152,0.000000,0.013384,-0.013384,-0.053536,-0.040152,-0.053536,-0.040152,-0.040152,-0.040152,-0.026768,-0.026768,0.000000,0.000000,-0.040152,-0.026768,-0.026768,-0.040152,-0.026768,0.000000,-0.040152,-0.013384,-0.026768,-0.013384,0.000000,-0.066920,-0.040152,0.000000,-0.040152,-0.026768,-0.026768,-0.053536,-0.066920,-0.026768,0.000000,-0.026768,-0.013384,-0.053536,0.000000,-0.040152,-0.026768,-0.040152,-0.013384,-0.013384,-0.026768,-0.026768,-0.026768
60004,GUE,01PW_TG_12,-0.011738,-0.014086,-0.004695,-0.009391,-0.009391,-0.007043,-0.009391,-0.007043,-0.004695,-0.011738,-0.016434,-0.009391,-0.007043,-0.016434,-0.009391,-0.007043,-0.007043,-0.002348,-0.004695,-0.007043,-0.009391,-0.016434,-0.002348,-0.014086,-0.007043,-0.002348,-0.002348,-0.011738,-0.016434,-0.016434,-0.002348,-0.009391,-0.007043,-0.002348,-0.002348,-0.014086,-0.004695,-0.007043,-0.007043,-0.011738,-0.009391,-0.011738,-0.004695,-0.002348,-0.009391,0.000000,-0.011738,-0.009391,0.000000,-0.011738,-0.007043,-0.009391,-0.009391,-0.014086,-0.004695,-0.004695,-0.007043,-0.011738,-0.007043,-0.014086,-0.007043,-0.011738,-0.002348,-0.016434,-0.007043,-0.009391,-0.014086,-0.007043,-0.009391,0.000000,-0.004695,-0.011738,-0.009391,-0.011738,-0.016434,-0.014086,-0.016434,-0.011738,-0.007043,-0.009391,-0.009391,-0.007043,-0.004695,-0.014086,-0.004695,-0.009391,-0.009391,-0.007043,-0.002348,-0.014086,-0.007043,-0.002348,-0.011738,-0.002348,-0.011738,-0.011738
60005,GUE,01PQ_TG_12,0.016411,0.009378,0.011722,0.021100,0.016411,0.016411,0.011722,0.023445,0.014067,0.011722,0.021100,0.009378,0.016411,0.014067,0.014067,0.007033,0.011722,0.011722,0.025789,0.011722,0.014067,0.011722,0.021100,0.023445,0.011722,0.011722,0.014067,0.021100,0.009378,0.009378,0.007033,0.016411,0.014067,0.004689,0.011722,0.009378,0.014067,0.011722,0.016411,0.011722,0.014067,0.016411,0.014067,0.016411,0.011722,0.018756,0.021100,0.014067,0.016411,0.011722,0.021100,0.023445,0.011722,0.014067,0.011722,0.007033,0.014067,0.011722,0.011722,0.009378,0.007033,0.011722,0.011722,0.007033,0.023445,0.014067,0.018756,0.014067,0.018756,0.016411,0.014067,0.014067,0.016411,0.014067,0.014067,0.014067,0.016411,0.014067,0.014067,0.014067,0.011722,0.021100,0.014067,0.016411,0.014067,0.014067,0.011722,0.011722,0.014067,0.014067,0.018756,0.023445,0.016411,0.011722,0.011722,0.018756
60006,GUE,13PW_TR_G12,-0.024620,0.000000,0.000000,-0.049240,0.036930,0.024620,-0.049240,-0.061550,-0.024620,0.000000,0.000000,0.000000,0.024620,-0.036930,0.000000,-0.036930,-0.024620,0.012310,-0.049240,0.000000,-0.024620,-0.061550,-0.036930,0.000000,0.012310,-0.012310,-0.012310,-0.036930,-0.024620,-0.061550,0.000000,0.012310,-0.024620,-0.024620,-0.049240,-0.049240,-0.073860,-0.024620,0.036930,0.024620,0.036930,-0.036930,0.000000,-0.036930,-0.036930,0.012310,-0.061550,-0.024620,0.036930,-0.049240,-0.036930,0.012310,-0.049240,-0.049240,-0.086170,-0.012310,-0.049240,-0.049240,-0.024620,-0.024620,-0.049240,-0.061550,0.012310,-0.073860,-0.036930,-0.073860,-0.036930,-0.061550,-0.036930,-0.073860,-0.036930,-0.024620,-0.036930,0.000000,-0.049240,-0.024620,-0.049240,-0.036930,-0.024620,-0.024620,0.012310,0.000000,-0.036930,0.000000,-0.012310,-0.049240,0.000000,0.000000,-0.012310,-0.012310,-0.049240,-0.049240,-0.024620,-0.049240,-0.012310,-0.036930
60007,GUE,13PQ_TR_G12,-0.039375,-0.036914,-0.029531,-0.039375,-0.029531,-0.036914,-0.031992,-0.034453,-0.034453,-0.039375,-0.034453,-0.036914,-0.036914,-0.039375,-0.027070,-0.039375,-0.034453,-0.036914,-0.039375,-0.036914,-0.029531,-0.034453,-0.031992,-0.036914,-0.029531,-0.024609,-0.034453,-0.036914,-0.036914,-0.029531,-0.039375,-0.039375,-0.031992,-0.034453,-0.029531,-0.044297,-0.039375,-0.034453,-0.031992,-0.034453,-0.034453,-0.041836,-0.034453,-0.041836,-0.036914,-0.034453,-0.044297,-0.036914,-0.039375,-0.034453,-0.036914,-0.036914,-0.039375,-0.041836,-0.034453,-0.029531,-0.034453,-0.029531,-0.029531,-0.036914,-0.041836,-0.039375,-0.036914,-0.034453,-0.041836,-0.039375,-0.039375,-0.039375,-0.041836,-0.034453,-0.039375,-0.036914,-0.036914,-0.036914,-0.034453,-0.031992,-0.036914,-0.039375,-0.036914,-0.036914,-0.031992,-0.034453,-0.036914,-0.039375,-0.036914,-0.044297,-0.029531,-0.039375,-0.034453,-0.034453,-0.039375,-0.039375,-0.036914,-0.034453,-0.039375,-0.044297
60008,GUE,13PW_TR_A12,0.066991,0.065021,0.067484,0.066006,0.065021,0.067484,0.066498,0.065513,0.074872,0.070932,0.074380,0.075365,0.072902,0.073394,0.076350,0.074380,0.077828,0.078813,0.077828,0.075857,0.078813,0.076843,0.075857,0.078813,0.076350,0.078813,0.079305,0.076843,0.079798,0.079798,0.082261,0.078813,0.080783,0.078813,0.086694,0.088664,0.079305,0.071424,0.070439,0.070439,0.073394,0.070932,0.072409,0.074872,0.068469,0.068961,0.072409,0.068961,0.068961,0.082754,0.078320,0.076350,0.076843,0.077828,0.078320,0.074380,0.078320,0.077335,0.077335,0.074872,0.077335,0.077335,0.073887,0.073394,0.079798,0.079305,0.075365,0.078320,0.078813,0.066991,0.068469,0.067484,0.066006,0.066006,0.063543,0.062558,0.067976,0.066991,0.068469,0.067976,0.066498,0.067484,0.065021,0.065513,0.064528,0.066991,0.064035,0.063543,0.063543,0.063543,0.065513,0.064528,0.065021,0.064528,0.063543,0.071424
60009,GUE,13PQ_TR_A12,0.053146,0.050194,0.051178,0.051178,0.052654,0.049210,0.047241,0.047733,0.054131,0.052162,0.053638,0.054623,0.051178,0.053146,0.053638,0.052654,0.053638,0.057083,0.055115,0.054623,0.058067,0.057083,0.054623,0.058067,0.055115,0.055607,0.056591,0.055115,0.056099,0.058559,0.059544,0.059051,0.064957,0.061512,0.067417,0.072338,0.062004,0.058559,0.054131,0.055115,0.056099,0.055115,0.058067,0.058067,0.052654,0.053146,0.056591,0.056099,0.054131,0.064957,0.060528,0.061512,0.061020,0.062004,0.061020,0.060036,0.061512,0.061512,0.062988,0.062004,0.062004,0.062988,0.059544,0.058067,0.062496,0.061020,0.059051,0.059051,0.059544,0.053638,0.054623,0.051178,0.053146,0.055607,0.051670,0.053638,0.056099,0.053146,0.053638,0.053146,0.051178,0.053638,0.051670,0.051178,0.051178,0.048225,0.046257,0.049702,0.049702,0.048717,0.048717,0.050686,0.051178,0.051178,0.050194,0.055607
