60000,"01PW  TG  11","13,2","Generación","PG","G","GUE","GUEMES","SALTA","NORTE"
60001,"01PQ  TG  11","13,2","Generación","Q","G","GUE","GUEMES","SALTA","NORTE"
60002,"13PW  TR G11",132,"Transformador","P","T","GUE","GUEMES","SALTA","NORTE"
60003,"13PQ  TR G11",132,"Transformador","Q","T","GUE","GUEMES","SALTA","NORTE"
60004,"01PW  TG  12","13,2","Generación","PG","G","GUE","GUEMES","SALTA","NORTE"
60005,"01PQ  TG  12","13,2","Generación","Q","G","GUE","GUEMES","SALTA","NORTE"
60006,"13PW  TR G12",132,"Transformador","P","T","GUE","GUEMES","SALTA","NORTE"
60007,"13PQ  TR G12",132,"Transformador","Q","T","GUE","GUEMES","SALTA","NORTE"
60008,"13PW  TR A12",132,"Generación","P","G","GUE","GUEMES","SALTA","NORTE"
60009,"13PQ  TR A12",132,"Generación","Q","G","GUE","GUEMES","SALTA","NORTE"
60010,"01PW  TG  13","13,2","Generación","PG","G","GUE","GUEMES","SALTA","NORTE"
60011,"01PQ  TG  13","13,2","Generación","Q","G","GUE","GUEMES","SALTA","NORTE"
60012,"13PW  TR G13",132,"Transformador","P","T","GUE","GUEMES","SALTA","NORTE"
60013,"13PQ  TR G13",132,"Transformador","Q","T","GUE","GUEMES","SALTA","NORTE"
60014,"13PW  TR A13",132,"Generación","P","G","GUE","GUEMES","SALTA","NORTE"
60015,"13PQ  TR A13",132,"Generación","Q","G","GUE","GUEMES","SALTA","NORTE"
60016,"13RBC TR  01",132,"Transformador","Punto de RBC",,"GUE","GUEMES","SALTA","NORTE"
60017,"13RBC TR  02",132,"Transformador","Punto de RBC",,"GUE","GUEMES","SALTA","NORTE"
60018,"CONSIGNA FR0",,,,,,,,
60019,"CAM  RPF HID",,"Cammesa","Regulacion",,,,,
60020,"CAM  RPF TER",,"Cammesa","Regulacion",,,,,
60021,"13FRE B   01",132,"Generación","Frecuencia",,,,,
60022,"13TEN B   01",132,"Generación","Tensión",,,,,
60023,"01PW  TG  01","13,2","Generación","PG","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60024,"01PQ  TG  01","13,2","Generación","Q","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60025,"01TEN TG  01","13,2","Generación","Tensión",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60026,"13RBC TG  01",132,"Transformador","Punto de RBC",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60027,"13PW  SA  01",132,"Generación","PG","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60028,"13PQ  SA  01",132,"Generación","Q","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60029,"13FRE B   02",132,"Generación","Frecuencia",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60030,"13TEN B   02",132,"Generación","Tensión",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60031,"01PW  TG  02","13,2","Generación","PG","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60032,"01PQ  TG  02","13,2","Generación","Q","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60033,"01TEN TG  02",132,"Transformador","Punto de RBC",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60034,"13RBC TG  02","13,2","Generación","Tensión",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60035,"13PW  SA  02",132,"Generación","PG","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60036,"13PQ  SA  02",132,"Generación","Q","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60037,"50CTE TR  01",500,"Transformador","Corriente",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60038,"50TEN TR  01",500,"Transformador","Tensión",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60039,"50PW  TR  01",500,"Transformador","PG","T","CTT","EL BRACHO","TUCUMAN","CENTRO"
60040,"50PQ  TR  01",500,"Transformador","Q","T","CTT","EL BRACHO","TUCUMAN","CENTRO"
60041,"50RBC TR  01",500,"Transformador","Punto de RBC",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60042,"01PW  TV  01","13,2","Generación","PG","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60043,"01PQ  TV  01","13,2","Generación","Q","G","CTT","EL BRACHO","TUCUMAN","CENTRO"
60044,"01TEN TV  01","13,2","Generación","Tensión",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60045,"13RBC TV  01",132,"Transformador","Punto de RBC",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60046,"13PW  TR TV1",132,"Transformador","PG","T","CTT","EL BRACHO","TUCUMAN","CENTRO"
60047,"13PQ  TR TV1",132,"Transformador","Q","T","CTT","EL BRACHO","TUCUMAN","CENTRO"
60048,"13CTE AC 1:2",132,"Acoplamiento","Corriente",,"CTT","EL BRACHO","TUCUMAN","CENTRO"
60049,"13PW  TR  01",132,"Transformador","PG","T","SMT","EL BRACHO","TUCUMAN","CENTRO"
60050,"13PQ  TR  01",132,"Transformador","Q","T","SMT","EL BRACHO","TUCUMAN","CENTRO"
60051,"01PW  TG  01","13,2","Generación","PG","G","SMT","EL BRACHO","TUCUMAN","CENTRO"
60052,"01PQ  TG  01","13,2","Generación","Q","G","SMT","EL BRACHO","TUCUMAN","CENTRO"
60053,"50CTE TR TG2",500,"Transformador","Corriente",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60054,"50TEN TR TG2",500,"Transformador","Tensión",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60055,"50PW  TR TG2",500,"Transformador","PG","T","SMT","EL BRACHO","TUCUMAN","CENTRO"
60056,"50PQ  TR TG2",500,"Transformador","Q","T","SMT","EL BRACHO","TUCUMAN","CENTRO"
60057,"50CTE TR TV1",500,"Transformador","Corriente",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60058,"50TEN TR TV1",500,"Transformador","Tensión",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60059,"50PW  TR TV1",500,"Transformador","PG","T","SMT","EL BRACHO","TUCUMAN","CENTRO"
60060,"50PQ  TR TV1",500,"Transformador","Q","T","SMT","EL BRACHO","TUCUMAN","CENTRO"
60061,"01PW  TG  02","13,2","Generación","PG","G","SMT","EL BRACHO","TUCUMAN","CENTRO"
60062,"01PQ  TG  02","13,2","Generación","Q","G","SMT","EL BRACHO","TUCUMAN","CENTRO"
60063,"01TEN TG  02","13,2","Generación","Tensión",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60064,"01FRE TG  02","13,2","Generación","Frecuencia",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60065,"01RBC TG  02","13,2","Generación","Punto de RBC",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60066,"01PW  TV  01","13,2","Generación","PG","G","SMT","EL BRACHO","TUCUMAN","CENTRO"
60067,"01PQ  TV  01","13,2","Generación","Q","G","SMT","EL BRACHO","TUCUMAN","CENTRO"
60068,"01TEN TV  01","13,2","Generación","Tensión",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60069,"01FRE TV  01","13,2","Generación","Frecuencia",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60070,"01RBC TV  01","13,2","Generación","Punto de RBC",,"SMT","EL BRACHO","TUCUMAN","CENTRO"
60071,"01PW  TG  01","13,2","Generación","PG","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60072,"01PQ  TG  01","13,2","Generación","Q","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60073,"13PW  SA  01",132,"Generación","PG","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60074,"13PQ  SA  01",132,"Generación","Q","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60075,"13RBC TR TG2",132,"Generación","Punto de RBC",,"PPN","EL BRACHO","TUCUMAN","CENTRO"
60076,"13PW  TR TG2",132,"Generación","PG","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60077,"13PQ  TR TG2",132,"Generación","Q","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60078,"13TEN TR TG2",132,"Generación","Tensión",,"PPN","EL BRACHO","TUCUMAN","CENTRO"
60079,"01PW  TG  02","13,2","Generación","PG","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60080,"01PQ  TG  02","13,2","Generación","Q","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60081,"13RBC TR TG1",132,"Transformador","Punto de RBC",,"PPN","EL BRACHO","TUCUMAN","CENTRO"
60082,"13PW  TR TG1",132,"Generación","PG","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60083,"13PQ  TR TG1",132,"Generación","Q","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60084,"13TEN TR TG1",132,"Generación","Tensión",,"PPN","EL BRACHO","TUCUMAN","CENTRO"
60085,"01PW  TG  03","13,2","Generación","PG","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60086,"01PQ  TG3","13,2","Generación","Q","G","PPN","EL BRACHO","TUCUMAN","CENTRO"
60087,"01PW  TR 001","13,2","Transformador","PG","T","PPN","EL BRACHO","TUCUMAN","CENTRO"
60088,"01PQ  TR 001","13,2","Transformador","Q","T","PPN","EL BRACHO","TUCUMAN","CENTRO"
60089,"01PW  TG 021","13,2","Generación","P","G",,,,
60090,"01PQ  TG 021","13,2","Generación","Q","G",,,,
60091,"GUE PW TOTAL",0,"Generación","P","G","GUE","GUEMES","SALTA","NORTE"
60092,"GUE PQ TOTAL",0,"Generación","Q","G",,,,
60093,"13NBC TR 002 (1)",132,"Transformador","Punto de RBC",,,,,
60094,"13NBC TR 003 (1)",132,"Transformador","Punto de RBC",,,,,
60095,"50NBC TR 004",500,"Transformador","Punto de RBC",,,,,
60096,"13NBC TR 001",132,"Transformador","Punto de RBC",,,,,
60097,"13NBC TR 002 (2)",132,"Transformador","Punto de RBC",,,,,
60098,"13NBC TR 003 (2)",132,"Transformador","Punto de RBC",,,,,
60099,"50NBC TR 001",500,"Transformador","Punto de RBC",,,,,
60100,"50NBC TR 002",500,"Transformador","Punto de RBC",,,,,
60102,"COUNTER SOTR",,,,,,,,
60103,"COUNTE2 SOTR",,,,,,,,
60104,"GUE 13PW TR 001",132,"Transformador","P","T","GUE","GUEMES","SALTA","NORTE"
60105,"GUE 13PQ TR 001",132,"Transformador","Q","T",,,,
60106,"GUE 01PW TG 021","13,2","Generación","PG","G","GUE","GUEMES","SALTA","NORTE"
60107,"GUE 01PQ TG 021","13,2","Generación","Q","G","GUE","GUEMES","SALTA","NORTE"
60108,"BRA AFE RBC SA2","13,2","Transformador","Punto de RBC",,,,,
60109,"BRA AFE 13TEN A2",132,"Generación","Tensión",,,,,
60110,"BRA AFE 01PW G2","13,2","Generación","PG","G","BRA","EL BRACHO","TUCUMAN","CENTRO"
60111,"BRA AFE 01PQ G2","13,2","Generación","Q","G","BRA","EL BRACHO","TUCUMAN","CENTRO"
60112,"BRA AFE RBC SA3",,"Transformador","Punto de RBC",,,,,
60113,"BRA AFE 13TEN A3",132,"Generación","Tensión",,,,,
60114,"BRA AFE 01PW G3","13,2","Generación","PG","G","BRA","EL BRACHO","TUCUMAN","CENTRO"
60115,"BRA AFE 01PQ G3","13,2","Generación","Q","G","BRA","EL BRACHO","TUCUMAN","CENTRO"
60201,"5NODO 5 V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE"
60202,"5NODO 6 V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE"
60203,"5BRCB1  I",500,"Linea","Corriente",,"COB","COBOS","SALTA","NORTE"
60204,"5BRCB1  P",500,"Linea","P","I","COB","COBOS","SALTA","NORTE"
60205,"5BRCB1  Q",500,"Linea","Q","I","COB","COBOS","SALTA","NORTE"
60206,"5NODO 8 V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE"
60207,"5T1CB   I",500,"Transformador","Corriente",,"COB","COBOS","SALTA","NORTE"
60208,"5T1CB   P",500,"Transformador","P","T","COB","COBOS","SALTA","NORTE"
60209,"5T1CB   Q",500,"Transformador","Q","T","COB","COBOS","SALTA","NORTE"
60210,"4T1CB   I",345,"Transformador","Corriente",,"COB","COBOS","SALTA","NORTE"
60211,"4T1CB   V",345,"Transformador","Tensión",,"COB","COBOS","SALTA","NORTE"
60212,"4T1CB   P",345,"Transformador","P","T","COB","COBOS","SALTA","NORTE"
60213,"4T1CB   Q",345,"Transformador","Q","T","COB","COBOS","SALTA","NORTE"
60214,"5T1CB   RBC",500,"Transformador","Punto de RBC",,"COB","COBOS","SALTA","NORTE"
60215,"5NODO 3 V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE"
