"POINTNUMBER","POINTNAME","STATIONNAMEABBREVIATED"
60000,"01PW  TG  11","GUE"
60001,"01PQ  TG  11","GUE"
60002,"13PW  TR G11","GUE"
60003,"13PQ  TR G11","GUE"
60004,"01PW  TG  12","GUE"
60005,"01PQ  TG  12","GUE"
60006,"13PW  TR G12","GUE"
60007,"13PQ  TR G12","GUE"
60008,"13PW  TR A12","GUE"
60009,"13PQ  TR A12","GUE"
60010,"01PW  TG  13","GUE"
60011,"01PQ  TG  13","GUE"
60012,"13PW  TR G13","GUE"
60013,"13PQ  TR G13","GUE"
60014,"13PW  TR A13","GUE"
60015,"13PQ  TR A13","GUE"
60016,"13RBC TR  01","GUE"
60017,"13RBC TR  02","GUE"
60021,"13FRE B   01","CTT"
60022,"13TEN B   01","CTT"
60023,"01PW  TG  01","CTT"
60024,"01PQ  TG  01","CTT"
60025,"01TEN TG  01","CTT"
60026,"13RBC TG  01","CTT"
60027,"13PW  SA  01","CTT"
60028,"13PQ  SA  01","CTT"
60029,"13FRE B   02","CTT"
60030,"13TEN B   02","CTT"
60031,"01PW  TG  02","CTT"
60032,"01PQ  TG  02","CTT"
60033,"01TEN TG  02","CTT"
60034,"13RBC TG  02","CTT"
60035,"13PW  SA  02","CTT"
60036,"13PQ  SA  02","CTT"
60037,"50CTE TR  01","CTT"
60038,"50TEN TR  01","CTT"
60039,"50PW  TR  01","CTT"
60040,"50PQ  TR  01","CTT"
60041,"50RBC TR  01","CTT"
60042,"01PW  TV  01","CTT"
60043,"01PQ  TV  01","CTT"
60044,"01TEN TV  01","CTT"
60045,"13RBC TV  01","CTT"
60046,"13PW  TR TV1","CTT"
60047,"13PQ  TR TV1","CTT"
60048,"13CTE AC 1:2","CTT"
60049,"13PW  TR  01","SMT"
60050,"13PQ  TR  01","SMT"
60051,"01PW  TG  01","SMT"
60052,"01PQ  TG  01","SMT"
60053,"50CTE TR TG2","SMT"
60054,"50TEN TR TG2","SMT"
60055,"50PW  TR TG2","SMT"
60056,"50PQ  TR TG2","SMT"
60057,"50CTE TR TV1","SMT"
60058,"50TEN TR TV1","SMT"
60059,"50PW  TR TV1","SMT"
60060,"50PQ  TR TV1","SMT"
60061,"01PW  TG  02","SMT"
60062,"01PQ  TG  02","SMT"
60063,"01TEN TG  02","SMT"
60064,"01FRE TG  02","SMT"
60065,"01RBC TG  02","SMT"
60066,"01PW  TV  01","SMT"
60067,"01PQ  TV  01","SMT"
60068,"01TEN TV  01","SMT"
60069,"01FRE TV  01","SMT"
60070,"01RBC TV  01","SMT"
60071,"01PW  TG  01","PPN"
60072,"01PQ  TG  01","PPN"
60073,"13PW  SA  01","PPN"
60074,"13PQ  SA  01","PPN"
60075,"13RBC TR TG2","PPN"
60076,"13PW  TR TG2","PPN"
60077,"13PQ  TR TG2","PPN"
60078,"13TEN TR TG2","PPN"
60079,"01PW  TG  02","PPN"
60080,"01PQ  TG  02","PPN"
60081,"13RBC TR TG1","PPN"
60082,"13PW  TR TG1","PPN"
60083,"13PQ  TR TG1","PPN"
60084,"13TEN TR TG1","PPN"
60085,"01PW  TG  03","PPN"
60086,"01PQ  TG3","PPN"
60087,"01PW  TR 001","GEN"
60088,"01PQ  TR 001","GEN"
60089,"01PW  TG 021","GEN"
60090,"01PQ  TG 021","GEN"
60091,"GUE PW TOTAL","GEN"
60092,"GUE PQ TOTAL","GEN"
60093,"13NBC TR 002 (1)","GEN"
60094,"13NBC TR 003 (1)","GEN"
60095,"50NBC TR 004","GEN"
60096,"13NBC TR 001","GEN"
60097,"13NBC TR 002 (2)","GEN"
60098,"13NBC TR 003 (2)","GEN"
60099,"50NBC TR 001","GEN"
60100,"50NBC TR 002","GEN"
60104,"GUE 13PW TR 001","GEN"
60105,"GUE 13PQ TR 001","GEN"
60106,"GUE 01PW TG 021","GEN"
60107,"GUE 01PQ TG 021","GEN"
60108,"BRA AFE RBC SA2","GEN"
60109,"BRA AFE 13TEN A2","GEN"
60110,"BRA AFE 01PW G2","GEN"
60111,"BRA AFE 01PQ G2","GEN"
60112,"BRA AFE RBC SA3","GEN"
60113,"BRA AFE 13TEN A3","GEN"
60114,"BRA AFE 01PW G3","GEN"
60115,"BRA AFE 01PQ G3","GEN"
60201,"5NODO 5 V","COB"
60202,"5NODO 6 V","COB"
60203,"5BRCB1  I","COB"
60204,"5BRCB1  P","COB"
60205,"5BRCB1  Q","COB"
60206,"5NODO 8 V","COB"
60207,"5T1CB   I","COB"
60208,"5T1CB   P","COB"
60209,"5T1CB   Q","COB"
60210,"4T1CB   I","COB"
60211,"4T1CB   V","COB"
60212,"4T1CB   P","COB"
60213,"4T1CB   Q","COB"
60214,"5T1CB   RBC","COB"
60215,"5NODO 3 V","COB"
60216,"5NODO 4 V","COB"
60217,"5CBMQ1  I","COB"
60218,"5CBMQ1  P","COB"
60219,"5CBMQ1  Q","COB"
60220,"5NODO 7 V","COB"
60221,"5CBSO1  I","COB"
60222,"5CBSO1  P","COB"
60223,"5CBSO1  Q","COB"
60224,"5CBSO1  V","COB"
60225,"5CBSO1  I B","COB"
60226,"5CBSO1  P B","COB"
60227,"5CBSO1  Q B","COB"
60228,"5T1SO   V","SJU"
60229,"5T1SO   I","SJU"
60230,"5T1SO   P","SJU"
60231,"5T1SO   Q","SJU"
60232,"5T1SO   RBC","SJU"
60233,"1T1SO   I","SJU"
60234,"1T1SO   V","SJU"
60235,"1T1SO   P","SJU"
60236,"1T1SO   Q","SJU"
60237,"1A A B  I","SJU"
60238,"1AL10  I","SJU"
60239,"1AL10  P","SJU"
60240,"1AL10  Q","SJU"
60241,"1AL10  V","SJU"
60242,"1CPO03 I","GEN"
60243,"1CPO03 V","GEN"
60244,"1CPO03 P","GEN"
60245,"1CPO03 Q","GEN"
60246,"345_TRFTV10_P","TAN"
60247,"345_TRFTV10_Q","TAN"
60248,"345_TRFTV10_V","TAN"
60249,"345_TRFTG11_P","TAN"
60250,"345_TRFTG11_Q","TAN"
60251,"345_TRFTG11_V","TAN"
60252,"345_TRFTG12_P","TAN"
60253,"345_TRFTG12_Q","TAN"
60254,"345_TRFTG12_V","TAN"
60258,"5NODO3  V","MQU"
60259,"5NODO4  V","MQU"
60260,"5CHA-MQ1 I","MQU"
60261,"5CHA-MQ1 P","MQU"
60262,"5CHA-MQ1 Q","MQU"
60263,"5CBMQ1   I","MQU"
60264,"5CBMQ1   P","MQU"
60265,"5CBMQ1   Q","MQU"
60266,"5NODO5  V","MQU"
60267,"5NODO6  V","MQU"
60268,"5T1MQ    I","MQU"
60269,"5T1MQ    P","MQU"
60270,"5T1MQ    Q","MQU"
60271,"5T1MQ    RBC","MQU"
60272,"1A A B  IB","MQU"
60273,"1T1MQ    I","MQU"
60274,"1T1MQ    V","MQU"
60275,"1T1MQ    P","MQU"
60276,"1T1MQ    Q","MQU"
60277,"1CGA-MQ1 I","MQU"
60278,"1CGA-MQ1 V","MQU"
60279,"1CGA-MQ1 P","MQU"
60280,"1CGA-MQ1 Q","MQU"
60281,"01PW    TD   01 POTENCIA ACTIVA MAQUINA SULLAIR","ANA"
60282,"01PQ    TD   01 POTENCIA REACTIVA MAQUINA SULLAIR","ANA"
60283,"ENA-CAT 01PW TG","CAT1"
60284,"ENA-CAT 01PQ TG","CAT1"
60285,"ENA-CHI 01PW TG","CHI"
60286,"ENA-CHI 01PQ TG","CHI"
60287,"ENA-LRS 01PW TG","LRI1"
60288,"ENA-LRS 01PQ TG","LRI1"
60289,"ENA-ORA 01PW TG","ORA"
60290,"ENA-ORA 01PQ TG","ORA"
60291,"ENA-TAR 01PW TG","TAR"
60292,"ENA-TAR 01PQ TG","TAR"
60293,"01PW    TD   01 POTENCIA ACTIVA MAQUINA SULLAIR","TIN"
60294,"01PQ    TD   01 POTENCIA REACTIVA MAQUINA SULLAIR","TIN"
60295,"01PW    TD   02 POTENCIA ACTIVA MAQUINA SULLAIR","ANA"
60296,"01PQ    TD   02 POTENCIA REACTIVA MAQUINA SULLAIR","ANA"
60297,"01PW    TD   03 POTENCIA ACTIVA MAQUINA SULLAIR","ANA"
60298,"01PQ    TD   03 POTENCIA REACTIVA MAQUINA SULLAIR","ANA"
60299,"01PW    TD   02 POTENCIA ACTIVA MAQUINA SULLAIR","TIN"
