POINTNUMBER;POINTNAME;STATIONNAME;STATIONNAMEABBREVIATED;PUNTOSINTER;NOMBRESINTER
60000;01PW  TG  11;GUEMES;GUE;2,6;01PW  TG  11
60001;01PQ  TG  11;GUEMES;GUE;2,60001;01PQ  TG  11
60002;13PW  TR G11;GUEMES;GUE;2,60002;13PW  TR G11
60003;13PQ  TR G11;GUEMES;GUE;2,60003;13PQ  TR G11
60004;01PW  TG  12;GUEMES;GUE;2,60004;01PW  TG  12
60005;01PQ  TG  12;GUEMES;GUE;2,60005;01PQ  TG  12
60006;13PW  TR G12;GUEMES;GUE;2,60006;13PW  TR G12
60007;13PQ  TR G12;GUEMES;GUE;2,60007;13PQ  TR G12
60008;13PW  TR A12;GUEMES;GUE;2,60008;13PW  TR A12
60009;13PQ  TR A12;GUEMES;GUE;2,60009;13PQ  TR A12
60010;01PW  TG  13;GUEMES;GUE;2,6001;01PW  TG  13
60011;01PQ  TG  13;GUEMES;GUE;2,60011;01PQ  TG  13
60012;13PW  TR G13;GUEMES;GUE;2,60012;13PW  TR G13
60013;13PQ  TR G13;GUEMES;GUE;2,60013;13PQ  TR G13
60014;13PW  TR A13;GUEMES;GUE;2,60014;13PW  TR A13
60015;13PQ  TR A13;GUEMES;GUE;2,60015;13PQ  TR A13
60016;13RBC TR  01;GUEMES;GUE;2,60016;13RBC TR  01
60017;13RBC TR  02;GUEMES;GUE;2,60017;13RBC TR  02
60021;13FRE B   01;C.TERMICA TUCUMAN;CTT;2,60021;13FRE B   01
60022;13TEN B   01;C.TERMICA TUCUMAN;CTT;2,60022;13TEN B   01
60023;01PW  TG  01;C.TERMICA TUCUMAN;CTT;2,60023;01PW  TG  01
60024;01PQ  TG  01;C.TERMICA TUCUMAN;CTT;2,60024;01PQ  TG  01
60025;01TEN TG  01;C.TERMICA TUCUMAN;CTT;2,60025;01TEN TG  01
60026;13RBC TG  01;C.TERMICA TUCUMAN;CTT;2,60026;13RBC TG  01
60027;13PW  SA  01;C.TERMICA TUCUMAN;CTT;2,60027;13PW  SA  01
60028;13PQ  SA  01;C.TERMICA TUCUMAN;CTT;2,60028;13PQ  SA  01
60029;13FRE B   02;C.TERMICA TUCUMAN;CTT;2,60029;13FRE B   02
60030;13TEN B   02;C.TERMICA TUCUMAN;CTT;2,6003;13TEN B   02
60031;01PW  TG  02;C.TERMICA TUCUMAN;CTT;2,60031;01PW  TG  02
60032;01PQ  TG  02;C.TERMICA TUCUMAN;CTT;2,60032;01PQ  TG  02
60033;01TEN TG  02;C.TERMICA TUCUMAN;CTT;2,60033;01TEN TG  02
60034;13RBC TG  02;C.TERMICA TUCUMAN;CTT;2,60034;13RBC TG  02
60035;13PW  SA  02;C.TERMICA TUCUMAN;CTT;2,60035;13PW  SA  02
60036;13PQ  SA  02;C.TERMICA TUCUMAN;CTT;2,60036;13PQ  SA  02
60037;50CTE TR  01;C.TERMICA TUCUMAN;CTT;2,60037;50CTE TR  01
60038;50TEN TR  01;C.TERMICA TUCUMAN;CTT;2,60038;50TEN TR  01
60039;50PW  TR  01;C.TERMICA TUCUMAN;CTT;2,60039;50PW  TR  01
60040;50PQ  TR  01;C.TERMICA TUCUMAN;CTT;2,6004;50PQ  TR  01
60041;50RBC TR  01;C.TERMICA TUCUMAN;CTT;2,60041;50RBC TR  01
60042;01PW  TV  01;C.TERMICA TUCUMAN;CTT;2,60042;01PW  TV  01
60043;01PQ  TV  01;C.TERMICA TUCUMAN;CTT;2,60043;01PQ  TV  01
60044;01TEN TV  01;C.TERMICA TUCUMAN;CTT;2,60044;01TEN TV  01
60045;13RBC TV  01;C.TERMICA TUCUMAN;CTT;2,60045;13RBC TV  01
60046;13PW  TR TV1;C.TERMICA TUCUMAN;CTT;2,60046;13PW  TR TV1
60047;13PQ  TR TV1;C.TERMICA TUCUMAN;CTT;2,60047;13PQ  TR TV1
60048;13CTE AC 1:2;C.TERMICA TUCUMAN;CTT;2,60048;13CTE AC 1:2
60049;13PW  TR  01;C.SAN MIGUEL;SMT;2,60049;13PW  TR  01
60050;13PQ  TR  01;C.SAN MIGUEL;SMT;2,6005;13PQ  TR  01
60051;01PW  TG  01;C.SAN MIGUEL;SMT;2,60051;01PW  TG  01
60052;01PQ  TG  01;C.SAN MIGUEL;SMT;2,60052;01PQ  TG  01
60053;50CTE TR TG2;C.SAN MIGUEL;SMT;2,60053;50CTE TR TG2
60054;50TEN TR TG2;C.SAN MIGUEL;SMT;2,60054;50TEN TR TG2
60055;50PW  TR TG2;C.SAN MIGUEL;SMT;2,60055;50PW  TR TG2
60056;50PQ  TR TG2;C.SAN MIGUEL;SMT;2,60056;50PQ  TR TG2
60057;50CTE TR TV1;C.SAN MIGUEL;SMT;2,60057;50CTE TR TV1
60058;50TEN TR TV1;C.SAN MIGUEL;SMT;2,60058;50TEN TR TV1
60059;50PW  TR TV1;C.SAN MIGUEL;SMT;2,60059;50PW  TR TV1
60060;50PQ  TR TV1;C.SAN MIGUEL;SMT;2,6006;50PQ  TR TV1
