0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.115000,-0.124000,-0.124000,-0.120000,-0.123000,-0.111000,-0.120000,-0.114000,-0.108000,-0.122000,-0.124000,-0.124000,-0.127000,-0.129000,-0.124000,-0.123000,-0.124000,-0.129000,-0.124000,-0.125000,-0.124000,-0.124000,-0.124000,-0.124000,-0.124000,-0.111000,-0.113000,-0.109000,-0.115000,-0.111000,-0.113000,-0.112000,-0.112000,-0.106000,-0.107000,-0.112000,-0.100000,-0.103000,-0.111000,-0.113000,-0.118000,-0.101000,-0.110000,-0.114000,-0.113000,-0.108000,-0.096000,-0.106000,-0.105000,-0.103000,-0.099000,-0.098000,-0.086000,-0.101000,-0.098000,-0.101000,-0.103000,-0.092000,-0.089000,-0.098000,-0.094000,-0.100000,-0.095000,-0.084000,-0.091000,-0.102000,-0.100000,-0.104000,-0.101000,-0.093000,-0.102000,-0.097000,-0.100000,-0.097000,-0.096000,-0.111000,-0.094000,-0.094000,-0.091000,-0.095000,-0.095000,-0.124000,-0.129000,-0.125000,-0.118000,-0.119000,-0.124000,-0.121000,-0.127000,-0.130000,-0.125000,-0.127000,-0.127000,-0.128000,-0.115000,-0.115000
-0.110000,-0.110000,-0.111000,-0.107000,-0.101000,-0.109000,-0.110000,-0.106000,-0.110000,-0.111000,-0.111000,-0.109000,-0.117000,-0.114000,-0.118000,-0.122000,-0.118000,-0.102000,-0.110000,-0.122000,-0.122000,-0.122000,-0.122000,-0.122000,-0.122000,-0.122000,-0.119000,-0.119000,-0.110000,-0.113000,-0.113000,-0.109000,-0.120000,-0.115000,-0.113000,-0.109000,-0.097000,-0.104000,-0.119000,-0.113000,-0.083000,-0.098000,-0.106000,-0.109000,-0.117000,-0.109000,-0.100000,-0.104000,-0.092000,-0.093000,-0.096000,-0.097000,-0.101000,-0.094000,-0.090000,-0.090000,-0.089000,-0.105000,-0.094000,-0.086000,-0.090000,-0.086000,-0.100000,-0.092000,-0.080000,-0.088000,-0.088000,-0.095000,-0.088000,-0.092000,-0.096000,-0.077000,-0.085000,-0.081000,-0.097000,-0.093000,-0.092000,-0.092000,-0.100000,-0.097000,-0.083000,-0.106000,-0.102000,-0.090000,-0.105000,-0.097000,-0.098000,-0.099000,-0.102000,-0.098000,-0.098000,-0.103000,-0.096000,-0.104000,-0.115000,-0.100000
203.580307,204.204727,202.331467,199.833801,197.336121,194.214020,196.087280,193.589600,192.965179,189.843079,187.969818,186.720978,187.345398,187.345398,186.096558,186.096558,187.969818,189.218658,187.345398,184.847717,188.594238,184.847717,185.472137,194.838440,206.702408,221.064056,234.801300,232.928040,232.303619,234.176880,231.679199,239.796646,241.669907,248.538528,247.289688,249.162949,251.036209,250.411789,249.787369,251.036209,247.914108,251.036209,253.533890,258.529236,254.782715,257.904816,256.031555,263.524597,262.900177,266.646698,266.022278,265.397858,259.153656,257.280396,260.402496,262.900177,256.031555,261.651337,261.651337,264.149017,262.275757,264.773438,262.275757,262.900177,264.773438,264.773438,264.149017,261.651337,259.778076,264.773438,261.026917,259.778076,256.655975,249.787369,261.651337,259.153656,266.646698,260.402496,264.773438,264.149017,277.886261,282.881592,284.754852,284.130432,284.754852,282.881592,286.003693,281.008331,280.383942,275.388580,274.139740,278.510681,276.637421,277.886261,272.266479,267.271118
8.852378,8.705538,8.411857,8.055244,7.950358,7.572769,7.530815,7.321043,7.153225,6.943453,6.817590,6.922476,6.796613,6.670749,6.817590,6.628795,6.628795,6.628795,6.502932,6.523909,6.502932,6.523909,6.607818,6.628795,7.048339,7.216156,7.300065,6.838567,6.502932,6.565863,6.607818,6.859544,6.922476,6.901498,7.237134,7.153225,7.216156,7.530815,7.425929,7.698632,7.530815,7.593746,7.698632,7.761564,7.740586,7.782541,8.118176,8.034267,8.285994,8.181108,8.223063,8.202085,8.432834,8.411857,8.432834,8.118176,8.327948,8.390880,8.474789,8.453812,8.453812,8.495766,8.265017,8.244040,8.390880,8.327948,8.348926,8.285994,8.055244,8.055244,8.285994,8.244040,8.181108,8.013290,8.369903,8.076221,8.118176,8.390880,8.558697,9.083127,9.565603,10.194919,10.341759,10.551531,11.034007,10.635440,10.656417,10.824235,10.719349,10.782280,10.509577,10.383714,10.341759,10.488600,10.069056,9.817329
13.131726,12.628274,12.355570,11.621368,11.306710,10.950098,10.593486,10.530554,10.383714,10.090033,9.796352,9.838306,9.649511,9.481694,9.418762,9.397785,9.334853,9.355831,9.167036,9.104104,9.083127,9.083127,9.208990,9.062150,9.271922,9.565603,9.355831,9.062150,9.062150,8.747492,8.726515,8.873355,8.810424,8.768469,9.229967,9.292899,9.544625,9.649511,9.817329,10.048079,10.257851,10.215896,10.320782,10.299805,10.530554,10.446645,10.572508,10.719349,10.677394,11.096938,11.327687,11.390619,11.621368,11.558436,11.579414,11.474528,11.243778,11.411596,11.306710,11.642345,11.411596,11.621368,11.390619,11.369642,11.159870,11.474528,11.243778,11.285733,11.222801,11.327687,11.285733,11.495505,11.327687,11.642345,11.537459,11.579414,11.705277,12.082867,12.166776,12.271662,13.299544,14.306450,14.767948,14.872834,15.187492,15.250423,15.565082,15.607037,15.544105,15.460196,15.376287,15.040651,14.935766,14.600130,14.579153,14.033746
2.865849,2.228994,2.228994,2.228994,2.228994,2.191532,2.135339,2.135339,2.135339,2.191532,2.116608,2.060415,2.154070,2.022952,2.154070,2.135339,2.154070,2.228994,2.191532,2.135339,2.154070,2.247725,2.097877,2.060415,2.079145,2.135339,2.135339,2.079145,2.210263,2.172801,2.116608,2.228994,2.135339,2.978235,2.865849,2.922042,2.903311,2.996967,2.884580,2.959504,2.865849,2.978235,2.865849,2.922042,3.071891,3.708746,2.978235,2.903311,3.690015,3.015697,2.996967,3.128084,3.259201,2.903311,3.708746,3.090622,2.940773,3.746208,3.558898,2.978235,2.903311,2.903311,2.884580,3.577629,2.884580,2.996967,2.903311,3.708746,3.015697,3.015697,2.922042,2.922042,3.015697,2.922042,2.978235,2.790925,2.940773,2.753463,2.903311,2.922042,2.884580,3.708746,3.783670,3.652553,3.708746,3.708746,3.746208,3.708746,3.690015,3.708746,3.708746,3.671284,3.615091,3.727477,2.922042,2.922042
